conv_layers,filters,kernel,max_pooling_window,epochs,precision,recall,f1,auc,mcc
1,8,5,2,20,0.5264028357338358,0.6578743961352658,0.5712523544887061,0.7885602743218716,0.5239369039970583
1,8,5,3,20,0.5268077210943102,0.6622222222222222,0.5732941543452491,0.7907320136413258,0.5263808141304177
1,8,5,4,20,0.5324556489262372,0.6445410628019324,0.5724455529316519,0.7843136870685893,0.5232316836124828
1,8,5,5,20,0.5390598290598291,0.6400966183574879,0.5764039386861686,0.7839746344258239,0.526784072430685
1,8,7,2,20,0.5374542124542124,0.6488888888888888,0.5708219350981499,0.7856789747751403,0.5254390586793349
1,8,7,3,20,0.5293399714526476,0.6577777777777778,0.5733513918387868,0.7890488749770551,0.5260213854911318
1,8,7,4,20,0.5341592911959172,0.6400966183574879,0.5732230969714923,0.7831660090888967,0.5232685217094837
1,8,7,5,20,0.5331234835071152,0.6400966183574879,0.5728551419451522,0.7831660090888967,0.5228035609370254
1,8,11,2,20,0.5433436092932787,0.6312077294685989,0.5708761685376074,0.7797961088869819,0.5231366412658713
1,8,11,3,20,0.5257536502327314,0.6577777777777778,0.5717591547999873,0.7887793331980794,0.5239980117356391
1,8,11,4,20,0.5360646599777035,0.6400966183574879,0.5749228111180844,0.7837050926468482,0.5250120512008236
1,8,11,5,20,0.534834476947153,0.6444444444444445,0.574786112068342,0.7850703803533993,0.5254915924533721
1,16,5,2,20,0.5117572391636687,0.6576811594202898,0.5661349115119885,0.7873811414004328,0.5158170840285239
1,16,5,3,20,0.5282062488430451,0.6400966183574879,0.5697856000449932,0.7823581083266442,0.5193203335763943
1,16,5,4,20,0.5403857360225323,0.6312077294685989,0.5689197991791923,0.779257749903705,0.5209604743626434
1,16,5,5,20,0.5487189600590812,0.6355555555555554,0.5750764042609364,0.7822402882841105,0.5283619569278635
1,16,7,2,20,0.5429375151207004,0.6313043478260869,0.5688222532616124,0.779306059082449,0.5218339471682402
1,16,7,3,20,0.5272315031470497,0.6578743961352658,0.5720128889183054,0.7888290915261728,0.5247055614252739
1,16,7,4,20,0.539041514041514,0.6488888888888888,0.5712835724113614,0.7856789747751403,0.5261352855006243
1,16,7,5,20,0.5262722795685384,0.6622222222222222,0.5751564949482377,0.7910037291443256,0.527021114776066
1,16,11,2,20,0.5361291087486013,0.6223188405797101,0.5642227366962087,0.7750784997901883,0.5146252304342724
1,16,11,3,20,0.5376126267788348,0.6312077294685989,0.5669234289432576,0.7787186663457536,0.518835942880871
1,16,11,4,20,0.5319632761294841,0.6357487922705314,0.5704859222791501,0.7809928206200931,0.5199163261006172
1,16,11,5,20,0.5330882103780009,0.6400966183574879,0.5723576367039864,0.7828971918845957,0.5223672430573815
1,32,5,2,20,0.5381808770939205,0.6313043478260869,0.5676467798186469,0.7790365173034732,0.5195546014359843
1,32,5,3,20,0.5312270531400967,0.64,0.5716694990450123,0.7828467089818277,0.521454460312668
1,32,5,4,20,0.5292773296609614,0.6400966183574879,0.5706510603124991,0.7826269255309452,0.5202216122284964
1,32,5,5,20,0.4992142266335814,0.7066666666666667,0.5749124591512109,0.805698345071443,0.5278126773983608
1,32,7,2,20,0.5422131351584367,0.6313043478260869,0.5690138338172798,0.7793053345077743,0.5216015565193481
1,32,7,3,20,0.5254636122798815,0.6622222222222222,0.5722492091899398,0.7904631964370248,0.5253644328074827
1,32,7,4,20,0.5325707220498033,0.6268599033816425,0.5689040428170863,0.7776229204181784,0.5170721228417016
1,32,7,5,20,0.538582322913323,0.6489855072463768,0.5703865536229054,0.7854599158989325,0.5255770447833076
1,32,11,2,20,0.5422131351584367,0.6313043478260869,0.5690138338172798,0.7793053345077743,0.5216015565193481
1,32,11,3,20,0.522731754529654,0.6578743961352658,0.5684900657349383,0.7880204661892455,0.5212532697993144
1,32,11,4,20,0.5280444047382702,0.6312077294685989,0.5669139740623116,0.7787193909204282,0.515600385085467
1,32,11,5,20,0.5403857360225323,0.6312077294685989,0.5689197991791923,0.779257749903705,0.5209604743626434
1,64,5,2,20,0.4861490683229814,0.720096618357488,0.5682475703324809,0.8083774399789642,0.5229138494290921
1,64,5,3,20,0.5246171240620824,0.6622222222222222,0.5714776525222305,0.7901943792327237,0.5245852526390136
1,64,5,4,20,0.529606124519168,0.6312077294685989,0.5671940861071295,0.7787186663457535,0.5162318679729916
1,64,5,5,20,0.5393414322250639,0.6312077294685989,0.5680681862759667,0.778988932699404,0.5200737546692868
1,64,7,2,20,0.5341181871257789,0.6228985507246376,0.5670866747230826,0.775648040687073,0.5155514126336092
1,64,7,3,20,0.5197992766155458,0.6622222222222222,0.5689758206265937,0.7896545711000975,0.5215383106184491
1,64,7,4,20,0.5258194957851708,0.6355555555555557,0.5664039667807105,0.7800839540523047,0.5156123215941
1,64,7,5,20,0.5433809051046579,0.6312077294685989,0.5704009267472764,0.7795272916826808,0.522732495592505
1,64,11,2,20,0.5483535641518535,0.6095652173913043,0.5651053227417306,0.770863094450514,0.5163613549231524
1,64,11,3,20,0.5337969456132149,0.6533333333333333,0.5691793266914859,0.7868237544561343,0.524422624885203
1,64,11,4,20,0.526864917558783,0.6312077294685989,0.5659355827057689,0.7784491245667778,0.5145932782968707
1,64,11,5,20,0.5442318898686861,0.6312077294685989,0.5711238808118455,0.7797968334616565,0.5235424230711724
2,8,5,2,20,0.5341592911959172,0.6400966183574879,0.5732230969714923,0.7831660090888967,0.5232685217094837
2,8,5,3,20,0.5307081807081808,0.6577777777777778,0.5743534549098154,0.7893184167560309,0.527077093422904
2,8,5,4,20,0.0,0.0,0.0,0.0,0.0
2,8,5,5,20,0.0,0.0,0.0,0.0,0.0
2,8,7,2,20,0.532052402689199,0.6400966183574879,0.5719896816776463,0.7828971918845957,0.5219022822849233
2,8,7,3,20,0.5287488193148571,0.6577777777777778,0.5732402823680713,0.7890488749770551,0.5257700329655007
2,8,7,4,20,0.0,0.0,0.0,0.0,0.0
2,8,7,5,20,0.0,0.0,0.0,0.0,0.0
2,8,11,2,20,0.5350475717713247,0.6400966183574879,0.5734708092457304,0.7831667336635715,0.5236743035147848
2,8,11,3,20,0.5307081807081808,0.6577777777777778,0.5743534549098154,0.7893184167560309,0.527077093422904
2,8,11,4,20,0.0,0.0,0.0,0.0,0.0
2,8,11,5,20,0.0,0.0,0.0,0.0,0.0
2,16,5,2,20,0.534834476947153,0.6444444444444445,0.574786112068342,0.7850703803533993,0.5254915924533721
2,16,5,3,20,0.5247803784602689,0.6578743961352658,0.5726850990672309,0.7888298161008473,0.5239736021492364
2,16,5,4,20,0.0,0.0,0.0,0.0,0.0
2,16,5,5,20,0.0,0.0,0.0,0.0,0.0
2,16,7,2,20,0.5276289780126098,0.6534299516908213,0.571420421715597,0.7871445037125525,0.5233333539747852
2,16,7,3,20,0.5276289780126098,0.6534299516908213,0.571420421715597,0.7871445037125525,0.5233333539747852
2,16,7,4,20,0.0,0.0,0.0,0.0,0.0
2,16,7,5,20,0.0,0.0,0.0,0.0,0.0
2,16,11,2,20,0.5306241470947354,0.6534299516908213,0.5729015492836811,0.7874140454915283,0.5251053752046466
2,16,11,3,20,0.5306241470947354,0.6534299516908213,0.5729015492836811,0.7874140454915283,0.5251053752046466
2,16,11,4,20,0.0,0.0,0.0,0.0,0.0
2,16,11,5,20,0.0,0.0,0.0,0.0,0.0
2,32,5,2,20,0.5371940861071296,0.6488888888888888,0.5700193844537212,0.7854094329961645,0.5248531859747742
2,32,5,3,20,0.5371004676665054,0.6400966183574879,0.5752907661444246,0.7837050926468482,0.5254770119732817
2,32,5,4,20,0.0,0.0,0.0,0.0,0.0
2,32,5,5,20,0.0,0.0,0.0,0.0,0.0
2,32,7,2,20,0.5267779932485814,0.6534299516908213,0.570697467651028,0.7868749619335768,0.5225234264961177
2,32,7,3,20,0.5318040347359131,0.6444444444444445,0.5728074792590921,0.7845320213701225,0.5232832533438666
2,32,7,4,20,0.0,0.0,0.0,0.0,0.0
2,32,7,5,20,0.0,0.0,0.0,0.0,0.0
2,32,11,2,20,0.5334299516908212,0.6622222222222222,0.5775197893038034,0.7918101807572289,0.5310942651792911
2,32,11,3,20,0.5331234835071152,0.6400966183574879,0.5728551419451522,0.7831660090888967,0.5228035609370254
2,32,11,4,20,0.0,0.0,0.0,0.0,0.0
2,32,11,5,20,0.0,0.0,0.0,0.0,0.0
2,64,5,2,20,0.5173897502501622,0.6622222222222222,0.5665921325051759,0.7888473949125195,0.5192175486752741
2,64,5,3,20,0.5321160482030047,0.6577777777777778,0.575372945164688,0.7895879585350066,0.5281528878314762
2,64,5,4,20,0.0,0.0,0.0,0.0,0.0
2,64,5,5,20,0.0,0.0,0.0,0.0,0.0
2,64,7,2,20,0.5205766768426614,0.6534299516908213,0.5659766945774276,0.785796794817674,0.5178639645218306
2,64,7,3,20,0.5291208791208791,0.6577777777777778,0.5738918175966039,0.7893184167560309,0.5263808666016146
2,64,7,4,20,0.0,0.0,0.0,0.0,0.0
2,64,7,5,20,0.0,0.0,0.0,0.0,0.0
2,64,11,2,20,0.5281171222833303,0.6314009661835749,0.5664042896260889,0.778549365797639,0.5152823682850874
2,64,11,3,20,0.5287488193148571,0.6577777777777778,0.5732402823680713,0.7890488749770551,0.5257700329655007
2,64,11,4,20,0.0,0.0,0.0,0.0,0.0
2,64,11,5,20,0.0,0.0,0.0,0.0,0.0
