conv_layers,filters,kernel,max_pooling_window,epochs,precision,recall,f1,auc,mcc
1,8,5,2,20,0.7294082476663121,0.8273809523809523,0.7675897181224449,0.8936252377174091,0.7438573695701124
1,8,5,3,20,0.7363247863247864,0.831547619047619,0.7727734918776472,0.8962098241835745,0.7500441815567738
1,8,5,4,20,0.0,0.0,0.0,0.0,0.0
1,8,5,5,20,0.0,0.0,0.0,0.0,0.0
1,8,7,2,20,0.732046226074395,0.8273809523809523,0.7691181678861887,0.893875864283825,0.7455119649837626
1,8,7,3,20,0.7374124782321504,0.827295918367347,0.7718722236369294,0.8943346004098546,0.7487004297900487
1,8,7,4,20,0.0,0.0,0.0,0.0,0.0
1,8,7,5,20,0.0,0.0,0.0,0.0,0.0
1,8,11,2,20,0.7061118837436797,0.8189625850340135,0.7553663154680104,0.8876541114991354,0.7269429148781263
1,8,11,3,20,0.7512674331318399,0.7987244897959183,0.7693442514500561,0.8825551517883005,0.7437877181946662
1,8,11,4,20,0.0,0.0,0.0,0.0,0.0
1,8,11,5,20,0.0,0.0,0.0,0.0,0.0
1,16,5,2,20,0.7625887048275108,0.7908163265306122,0.7680178005746414,0.8793529498548956,0.744782055587492
1,16,5,3,20,0.7350812176329418,0.8232142857142858,0.7694422052579509,0.8922937840833238,0.7455075994124518
1,16,5,4,20,0.0,0.0,0.0,0.0,0.0
1,16,5,5,20,0.0,0.0,0.0,0.0,0.0
1,16,7,2,20,0.739749373433584,0.8067176870748298,0.7641565565718805,0.884798623892826,0.7395870391532138
1,16,7,3,20,0.7511596890240957,0.8028911564625849,0.771443492939034,0.8846384851216339,0.7460894402725128
1,16,7,4,20,0.0,0.0,0.0,0.0,0.0
1,16,7,5,20,0.0,0.0,0.0,0.0,0.0
1,16,11,2,20,0.7667574648721767,0.7575680272108843,0.7560688979845752,0.86398067359713,0.7304066005927576
1,16,11,3,20,0.7377232961094421,0.8191326530612244,0.7689531171606168,0.8905035943232091,0.7448672521935648
1,16,11,4,20,0.0,0.0,0.0,0.0,0.0
1,16,11,5,20,0.0,0.0,0.0,0.0,0.0
1,32,5,2,20,0.7673317251417736,0.757482993197279,0.7594999985274133,0.8644394097231594,0.7323007248545247
1,32,5,3,20,0.7364611894033809,0.8112244897959183,0.767756676616718,0.8875507595262384,0.7419535153479793
1,32,5,4,20,0.0,0.0,0.0,0.0,0.0
1,32,5,5,20,0.0,0.0,0.0,0.0,0.0
1,32,7,2,20,0.713987675180974,0.8146258503401361,0.7560318397025757,0.8862395129964179,0.7289327711159035
1,32,7,3,20,0.7514628456842611,0.7946428571428571,0.7683456285592467,0.8807655917431771,0.742175783946875
1,32,7,4,20,0.0,0.0,0.0,0.0,0.0
1,32,7,5,20,0.0,0.0,0.0,0.0,0.0
1,32,11,2,20,0.7201055839685155,0.810544217687075,0.7580862305420133,0.8849524655141086,0.7308266712568324
1,32,11,3,20,0.7513631385201791,0.7947278911564626,0.7677512628839418,0.8808081087499797,0.7419615619644124
1,32,11,4,20,0.0,0.0,0.0,0.0,0.0
1,32,11,5,20,0.0,0.0,0.0,0.0,0.0
1,64,5,2,20,0.758589659374004,0.7616496598639456,0.7559254866262106,0.8655177179308646,0.72874116346627
1,64,5,3,20,0.707473394275455,0.8191326530612244,0.7584360786496969,0.8884885063520251,0.7292185076310893
1,64,5,4,20,0.0,0.0,0.0,0.0,0.0
1,64,5,5,20,0.0,0.0,0.0,0.0,0.0
1,64,7,2,20,0.7514609715759202,0.769812925170068,0.7583562321069351,0.8690987271660846,0.729935528813452
1,64,7,3,20,0.7048598474404926,0.831547619047619,0.7621597694603841,0.8941941064973993,0.7339470211529457
1,64,7,4,20,0.0,0.0,0.0,0.0,0.0
1,64,7,5,20,0.0,0.0,0.0,0.0,0.0
1,64,11,2,20,0.7514609715759202,0.769812925170068,0.7583562321069351,0.8690987271660846,0.729935528813452
1,64,11,3,20,0.7240182459050384,0.8152210884353741,0.7656051990622957,0.8885434040053471,0.7376748896786504
1,64,11,4,20,0.0,0.0,0.0,0.0,0.0
1,64,11,5,20,0.0,0.0,0.0,0.0,0.0
2,8,5,2,20,0.0,0.0,0.0,0.0,0.0
2,8,5,3,20,0.0,0.0,0.0,0.0,0.0
2,8,5,4,20,0.0,0.0,0.0,0.0,0.0
2,8,5,5,20,0.0,0.0,0.0,0.0,0.0
2,8,7,2,20,0.0,0.0,0.0,0.0,0.0
2,8,7,3,20,0.0,0.0,0.0,0.0,0.0
2,8,7,4,20,0.0,0.0,0.0,0.0,0.0
2,8,7,5,20,0.0,0.0,0.0,0.0,0.0
2,8,11,2,20,0.0,0.0,0.0,0.0,0.0
2,8,11,3,20,0.0,0.0,0.0,0.0,0.0
2,8,11,4,20,0.0,0.0,0.0,0.0,0.0
2,8,11,5,20,0.0,0.0,0.0,0.0,0.0
2,16,5,2,20,0.0,0.0,0.0,0.0,0.0
2,16,5,3,20,0.0,0.0,0.0,0.0,0.0
2,16,5,4,20,0.0,0.0,0.0,0.0,0.0
2,16,5,5,20,0.0,0.0,0.0,0.0,0.0
2,16,7,2,20,0.0,0.0,0.0,0.0,0.0
2,16,7,3,20,0.0,0.0,0.0,0.0,0.0
2,16,7,4,20,0.0,0.0,0.0,0.0,0.0
2,16,7,5,20,0.0,0.0,0.0,0.0,0.0
2,16,11,2,20,0.0,0.0,0.0,0.0,0.0
2,16,11,3,20,0.0,0.0,0.0,0.0,0.0
2,16,11,4,20,0.0,0.0,0.0,0.0,0.0
2,16,11,5,20,0.0,0.0,0.0,0.0,0.0
2,32,5,2,20,0.0,0.0,0.0,0.0,0.0
2,32,5,3,20,0.0,0.0,0.0,0.0,0.0
2,32,5,4,20,0.0,0.0,0.0,0.0,0.0
2,32,5,5,20,0.0,0.0,0.0,0.0,0.0
2,32,7,2,20,0.0,0.0,0.0,0.0,0.0
2,32,7,3,20,0.0,0.0,0.0,0.0,0.0
2,32,7,4,20,0.0,0.0,0.0,0.0,0.0
2,32,7,5,20,0.0,0.0,0.0,0.0,0.0
2,32,11,2,20,0.0,0.0,0.0,0.0,0.0
2,32,11,3,20,0.0,0.0,0.0,0.0,0.0
2,32,11,4,20,0.0,0.0,0.0,0.0,0.0
2,32,11,5,20,0.0,0.0,0.0,0.0,0.0
2,64,5,2,20,0.0,0.0,0.0,0.0,0.0
2,64,5,3,20,0.0,0.0,0.0,0.0,0.0
2,64,5,4,20,0.0,0.0,0.0,0.0,0.0
2,64,5,5,20,0.0,0.0,0.0,0.0,0.0
2,64,7,2,20,0.0,0.0,0.0,0.0,0.0
2,64,7,3,20,0.0,0.0,0.0,0.0,0.0
2,64,7,4,20,0.0,0.0,0.0,0.0,0.0
2,64,7,5,20,0.0,0.0,0.0,0.0,0.0
2,64,11,2,20,0.0,0.0,0.0,0.0,0.0
2,64,11,3,20,0.0,0.0,0.0,0.0,0.0
2,64,11,4,20,0.0,0.0,0.0,0.0,0.0
2,64,11,5,20,0.0,0.0,0.0,0.0,0.0
