sample_id	start_line	end_line	link	label	reviews
5786929	89	1427	https://github.com/apache/tez/blob/d5675c332497c1ac1dedefdf91e87476b5c0d7a9/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java/#L89-L1427	smelly	['critical', 'critical', 'none']
5789396	43	85	https://github.com/apache/tika/blob/4131c6e30f2e0eb1feb85e0f7576531d4e830468/tika-core/src/main/java/org/apache/tika/parser/multiple/SupplementingParser.java/#L43-L85	non-smelly	['none']
5799314	26	126	https://github.com/apache/tapestry-5/blob/542950fc0266e8f9be1aacb5d6ba92146ae20f1b/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/RequestSecurityManagerImpl.java/#L26-L126	non-smelly	['none']
5799022	32	96	https://github.com/apache/tapestry-5/blob/542950fc0266e8f9be1aacb5d6ba92146ae20f1b/tapestry-core/src/main/java/org/apache/tapestry5/corelib/base/AbstractConditional.java/#L32-L96	non-smelly	['none']
5812130	217	222	https://github.com/apache/tinkerpop/blob/7d9df0f0acf08f9e675ca7b337fc5e0243c09b53/gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/process/traversal/step/util/event/Event.java/#L217-L222	non-smelly	['none']
5822090	37	136	https://github.com/apache/uima-ruta/blob/08efb111a775b4ba01cf048ac699aa9c22188325/ruta-core/src/main/java/org/apache/uima/ruta/action/TrimAction.java/#L37-L136	smelly	['minor', 'minor']
5828468	40	434	https://github.com/apache/unomi/blob/1745c5221401a05e66ebf80fbe9cce2790442b3a/extensions/unomi-mailchimp/services/src/main/java/org/apache/unomi/mailchimp/services/internal/MailChimpServiceImpl.java/#L40-L434	smelly	['major', 'critical', 'none', 'minor', 'major']
5839091	1535	1564	https://github.com/apache/tomcat/blob/a9c1a0661198d9ba37c1facd8385fe05d538c4ad/java/org/apache/catalina/valves/AbstractAccessLogValve.java/#L1535-L1564	non-smelly	['none']
5839770	630	638	https://github.com/apache/tomcat/blob/a9c1a0661198d9ba37c1facd8385fe05d538c4ad/java/org/apache/catalina/tribes/group/interceptors/EncryptInterceptor.java/#L630-L638	non-smelly	['none']
5827650	29	85	https://github.com/apache/uima-ruta/blob/08efb111a775b4ba01cf048ac699aa9c22188325/ruta-ep-addons/src/main/java/org/apache/uima/ruta/cde/ui/DocumentTableLabelProvider.java/#L29-L85	non-smelly	['none', 'major', 'none']
5855407	33	55	https://github.com/apache/tomcat/blob/a9c1a0661198d9ba37c1facd8385fe05d538c4ad/java/org/apache/tomcat/dbcp/dbcp2/managed/XAConnectionFactory.java/#L33-L55	non-smelly	['none']
5857044	28	42	https://github.com/apache/uima-uimaj/blob/e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-tools/src/main/java/org/apache/uima/tools/cvd/control/FileSaveEventHandler.java/#L28-L42	non-smelly	['none']
5866628	35	90	https://github.com/apache/uima-uimaj/blob/e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-ep-cas-editor/src/main/java/org/apache/uima/caseditor/editor/action/WideLeftAnnotationSideAction.java/#L35-L90	non-smelly	['none']
5871455	28	35	https://github.com/apache/uima-uimaj/blob/e79c33b5a3e4c25afb407e68e98df1829a68e5a7/jVinci/src/main/java/org/apache/vinci/transport/ErrorFrame.java/#L28-L35	non-smelly	['none']
