id,reviewer_id,sample_id,smell,severity,review_timestamp,type,code_name,repository,commit_hash,path,start_line,end_line,link,is_from_industry_relevant_project
527,6,5771277,long method,none,34:53.0,function,org.apache.syncope.client.ui.commons.ConnIdSpecialName.ConnIdSpecialName,git@github.com:apache/syncope.git,114c412afbfba24ffb4fbc804e5308a823a16a78,/client/idrepo/ui/src/main/java/org/apache/syncope/client/ui/commons/ConnIdSpecialName.java,35,37,https://github.com/apache/syncope/blob/114c412afbfba24ffb4fbc804e5308a823a16a78/client/idrepo/ui/src/main/java/org/apache/syncope/client/ui/commons/ConnIdSpecialName.java/#L35-L37,1
531,6,5788107,long method,none,37:49.6,function,org.apache.tika.parser.ocr.TesseractOCRConfig#getImageMagickPath,git@github.com:apache/tika.git,4131c6e30f2e0eb1feb85e0f7576531d4e830468,/tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java,531,534,https://github.com/apache/tika/blob/4131c6e30f2e0eb1feb85e0f7576531d4e830468/tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java/#L531-L534,1
532,6,5788583,long method,none,38:15.6,function,org.apache.tez.runtime.library.common.shuffle.orderedgrouped.ShuffleHeader#writeLength,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java,88,99,https://github.com/apache/tez/blob/d5675c332497c1ac1dedefdf91e87476b5c0d7a9/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java/#L88-L99,1
540,6,5798354,long method,none,39:35.8,function,org.apache.tapestry5.internal.plastic.asm.util.Printer#visitMethodTypeAnnotation int|TypePath|String|boolean,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/util/Printer.java,736,739,https://github.com/apache/tapestry-5/blob/542950fc0266e8f9be1aacb5d6ba92146ae20f1b/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/util/Printer.java/#L736-L739,1
543,6,5798489,long method,none,40:27.3,function,org.apache.tapestry5.dom.Html5MarkupModel.Html5MarkupModel boolean,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,/tapestry-core/src/main/java/org/apache/tapestry5/dom/Html5MarkupModel.java,36,39,https://github.com/apache/tapestry-5/blob/542950fc0266e8f9be1aacb5d6ba92146ae20f1b/tapestry-core/src/main/java/org/apache/tapestry5/dom/Html5MarkupModel.java/#L36-L39,1
544,6,5800930,long method,none,41:01.8,function,org.apache.tapestry5.internal.plastic.asm.tree.analysis.SourceValue#getSize,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/tree/analysis/SourceValue.java,101,104,https://github.com/apache/tapestry-5/blob/542950fc0266e8f9be1aacb5d6ba92146ae20f1b/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/tree/analysis/SourceValue.java/#L101-L104,1
549,6,5809960,long method,none,41:47.5,function,org.apache.tinkerpop.gremlin.process.traversal.dsl.graph.GraphTraversalSource#withSideEffect String|Supplier<A>|BinaryOperator<A>,git@github.com:apache/tinkerpop.git,7d9df0f0acf08f9e675ca7b337fc5e0243c09b53,/gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/process/traversal/dsl/graph/GraphTraversalSource.java,189,192,https://github.com/apache/tinkerpop/blob/7d9df0f0acf08f9e675ca7b337fc5e0243c09b53/gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/process/traversal/dsl/graph/GraphTraversalSource.java/#L189-L192,1
552,6,5828765,long method,none,43:01.3,function,org.apache.unomi.persistence.elasticsearch.ElasticSearchPersistenceServiceImpl#getPropertyMapping String|String,git@github.com:apache/unomi.git,1745c5221401a05e66ebf80fbe9cce2790442b3a,/persistence-elasticsearch/core/src/main/java/org/apache/unomi/persistence/elasticsearch/ElasticSearchPersistenceServiceImpl.java,1158,1167,https://github.com/apache/unomi/blob/1745c5221401a05e66ebf80fbe9cce2790442b3a/persistence-elasticsearch/core/src/main/java/org/apache/unomi/persistence/elasticsearch/ElasticSearchPersistenceServiceImpl.java/#L1158-L1167,1
562,7,5841731,long method,none,45:14.9,function,org.apache.catalina.startup.VersionLoggerListener#setLogArgs boolean,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad,/java/org/apache/catalina/startup/VersionLoggerListener.java,55,57,https://github.com/apache/tomcat/blob/a9c1a0661198d9ba37c1facd8385fe05d538c4ad/java/org/apache/catalina/startup/VersionLoggerListener.java/#L55-L57,1
565,6,5840527,long method,minor,45:41.3,function,org.apache.el.parser.ELParser#DynamicExpression,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad,/java/org/apache/el/parser/ELParser.java,140,168,https://github.com/apache/tomcat/blob/a9c1a0661198d9ba37c1facd8385fe05d538c4ad/java/org/apache/el/parser/ELParser.java/#L140-L168,1
567,6,5839532,long method,none,46:06.3,function,org.apache.tomcat.util.net.SSLHostConfig.adjustRelativePath String,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad,/java/org/apache/tomcat/util/net/SSLHostConfig.java,818,834,https://github.com/apache/tomcat/blob/a9c1a0661198d9ba37c1facd8385fe05d538c4ad/java/org/apache/tomcat/util/net/SSLHostConfig.java/#L818-L834,1
571,7,5839980,long method,none,46:31.2,function,org.apache.tomcat.util.descriptor.web.ContextResourceLink#equals Object,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad,/java/org/apache/tomcat/util/descriptor/web/ContextResourceLink.java,94,121,https://github.com/apache/tomcat/blob/a9c1a0661198d9ba37c1facd8385fe05d538c4ad/java/org/apache/tomcat/util/descriptor/web/ContextResourceLink.java/#L94-L121,1
572,6,5855589,long method,none,47:09.4,function,org.apache.catalina.ha.session.DeltaSession#endAccess,git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad,/java/org/apache/catalina/ha/session/DeltaSession.java,412,418,https://github.com/apache/tomcat/blob/a9c1a0661198d9ba37c1facd8385fe05d538c4ad/java/org/apache/catalina/ha/session/DeltaSession.java/#L412-L418,1
574,7,5855387,long method,none,47:16.1,function,"org.apache.tomcat.dbcp.dbcp2.datasources.PerUserPoolDataSource#setPerUserTestWhileIdle Map<String, Boolean>",git@github.com:apache/tomcat.git,a9c1a0661198d9ba37c1facd8385fe05d538c4ad,/java/org/apache/tomcat/dbcp/dbcp2/datasources/PerUserPoolDataSource.java,1085,1093,https://github.com/apache/tomcat/blob/a9c1a0661198d9ba37c1facd8385fe05d538c4ad/java/org/apache/tomcat/dbcp/dbcp2/datasources/PerUserPoolDataSource.java/#L1085-L1093,1
576,7,5857311,long method,none,47:29.6,function,org.apache.uima.tools.viewer.CasTreeViewer.getText String,git@github.com:apache/uima-uimaj.git,e79c33b5a3e4c25afb407e68e98df1829a68e5a7,/uimaj-tools/src/main/java/org/apache/uima/tools/viewer/CasTreeViewer.java,381,389,https://github.com/apache/uima-uimaj/blob/e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-tools/src/main/java/org/apache/uima/tools/viewer/CasTreeViewer.java/#L381-L389,1
580,7,5858827,long method,none,47:54.7,function,org.apache.velocity.util.introspection.DeprecatedCheckUberspector#init,git@github.com:apache/velocity-engine.git,c85f3e586f00fea89dc21253d017baa180957b75,/velocity-engine-core/src/main/java/org/apache/velocity/util/introspection/DeprecatedCheckUberspector.java,38,43,https://github.com/apache/velocity-engine/blob/c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/util/introspection/DeprecatedCheckUberspector.java/#L38-L43,1
591,6,5875574,long method,none,49:44.1,function,org.apache.usergrid.rest.management.users.UserResource#getToken,git@github.com:apache/usergrid.git,ac1e6e4035f9307b871478ed47246cf92cfd5f7f,/stack/rest/src/main/java/org/apache/usergrid/rest/management/users/UserResource.java,362,364,https://github.com/apache/usergrid/blob/ac1e6e4035f9307b871478ed47246cf92cfd5f7f/stack/rest/src/main/java/org/apache/usergrid/rest/management/users/UserResource.java/#L362-L364,1
604,7,5904263,long method,none,50:49.3,function,org.apache.xml.dtm.ref.DTMNodeProxy#splitText int,git@github.com:apache/xalan-j.git,cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa,/src/org/apache/xml/dtm/ref/DTMNodeProxy.java,967,970,https://github.com/apache/xalan-j/blob/cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/src/org/apache/xml/dtm/ref/DTMNodeProxy.java/#L967-L970,0
608,7,5904455,long method,none,51:09.4,function,org.apache.xml.utils.UnImplNode#hasAttribute String,git@github.com:apache/xalan-j.git,cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa,/src/org/apache/xml/utils/UnImplNode.java,323,329,https://github.com/apache/xalan-j/blob/cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/src/org/apache/xml/utils/UnImplNode.java/#L323-L329,0
609,6,5904841,long method,none,51:13.4,function,org.apache.xalan.xsltc.compiler.util.IntType#GE boolean,git@github.com:apache/xalan-j.git,cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa,/src/org/apache/xalan/xsltc/compiler/util/IntType.java,286,289,https://github.com/apache/xalan-j/blob/cba6d7fe7e93defecb98d155e2a780f8a3f1fbaa/src/org/apache/xalan/xsltc/compiler/util/IntType.java/#L286-L289,0
612,6,5922177,long method,minor,51:45.2,function,org.apache.zeppelin.realm.jwt.KnoxJwtRealm#validateToken String,git@github.com:apache/zeppelin.git,4219d552349f8f7f3e6de34505b8a8ae9835f98b,/zeppelin-server/src/main/java/org/apache/zeppelin/realm/jwt/KnoxJwtRealm.java,130,156,https://github.com/apache/zeppelin/blob/4219d552349f8f7f3e6de34505b8a8ae9835f98b/zeppelin-server/src/main/java/org/apache/zeppelin/realm/jwt/KnoxJwtRealm.java/#L130-L156,1
616,6,5939437,long method,none,53:23.9,function,org.apache.openejb.loader.SystemInstance#setProperty String|String|boolean,git@github.com:apache/tomee.git,d21933b313aff812fe5188b57bf572a9ad649148,/container/openejb-loader/src/main/java/org/apache/openejb/loader/SystemInstance.java,176,181,https://github.com/apache/tomee/blob/d21933b313aff812fe5188b57bf572a9ad649148/container/openejb-loader/src/main/java/org/apache/openejb/loader/SystemInstance.java/#L176-L181,1
620,6,5939683,long method,none,54:02.5,function,org.apache.openejb.config.RemoteServer#setPortStartup int,git@github.com:apache/tomee.git,d21933b313aff812fe5188b57bf572a9ad649148,/container/openejb-core/src/main/java/org/apache/openejb/config/RemoteServer.java,141,143,https://github.com/apache/tomee/blob/d21933b313aff812fe5188b57bf572a9ad649148/container/openejb-core/src/main/java/org/apache/openejb/config/RemoteServer.java/#L141-L143,1
623,6,5939954,long method,critical,55:26.3,function,org.apache.zookeeper.graph.JsonGenerator.JsonGenerator LogIterator,git@github.com:apache/zookeeper.git,07c3aaf3d723fb3144c0aedc0c2b655325df70e9,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/JsonGenerator.java,75,213,https://github.com/apache/zookeeper/blob/07c3aaf3d723fb3144c0aedc0c2b655325df70e9/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/JsonGenerator.java/#L75-L213,1
628,6,6005367,long method,none,56:02.9,function,org.apache.wss4j.policy.model.Trust10#cloneAssertion Policy,git@github.com:apache/wss4j.git,5c2cbd7e7377296edab02ab79fc98b84fb47f825,/policy/src/main/java/org/apache/wss4j/policy/model/Trust10.java,102,105,https://github.com/apache/wss4j/blob/5c2cbd7e7377296edab02ab79fc98b84fb47f825/policy/src/main/java/org/apache/wss4j/policy/model/Trust10.java/#L102-L105,1
630,6,6133230,long method,none,56:52.6,function,org.eclipse.dltk.internal.ui.refactoring.reorg.RenameRefactoringWizard#addUserInputPages,git@github.com:eclipse/dltk.core.git,ff5ee79db0c2234347cb3f956de9b31047f43613,/core/plugins/org.eclipse.dltk.ui/ui refactoring/org/eclipse/dltk/internal/ui/refactoring/reorg/RenameRefactoringWizard.java,39,46,https://github.com/eclipse/dltk.core/blob/ff5ee79db0c2234347cb3f956de9b31047f43613/core/plugins/org.eclipse.dltk.ui/ui refactoring/org/eclipse/dltk/internal/ui/refactoring/reorg/RenameRefactoringWizard.java/#L39-L46,1
636,6,6010673,long method,none,57:53.5,function,org.cloudfoundry.reactor.client._ReactorCloudFoundryClient#stacks,git@github.com:cloudfoundry/cf-java-client.git,6fabcf647302158b638cf2c44cee389e1df9b964,/cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/_ReactorCloudFoundryClient.java,366,370,https://github.com/cloudfoundry/cf-java-client/blob/6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/_ReactorCloudFoundryClient.java/#L366-L370,1
638,6,6009570,long method,none,58:17.0,function,com.baidu.pbrpc.register.redis.JedisPool.JedisPool GenericObjectPoolConfig|String|int,git@github.com:baidu/Jprotobuf-rpc-socket.git,4422e24c725eaf1f76646f674718bcc8750a4e1d,/jprotobuf-rpc-registry-redis/src/main/java/com/baidu/pbrpc/register/redis/JedisPool.java,53,55,https://github.com/baidu/Jprotobuf-rpc-socket/blob/4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-registry-redis/src/main/java/com/baidu/pbrpc/register/redis/JedisPool.java/#L53-L55,1
640,7,5939530,long method,none,58:26.6,function,org.apache.zookeeper.server.auth.KerberosName.Rule.replaceSubstitution String|Pattern|String|boolean,git@github.com:apache/zookeeper.git,07c3aaf3d723fb3144c0aedc0c2b655325df70e9,/zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/KerberosName.java,287,295,https://github.com/apache/zookeeper/blob/07c3aaf3d723fb3144c0aedc0c2b655325df70e9/zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/KerberosName.java/#L287-L295,1
648,6,6016779,long method,none,59:05.3,function,org.cloudfoundry.client.v3.packages..PackageState String,git@github.com:cloudfoundry/cf-java-client.git,6fabcf647302158b638cf2c44cee389e1df9b964,/cloudfoundry-client/src/main/java/org/cloudfoundry/client/v3/packages/PackageState.java,59,61,https://github.com/cloudfoundry/cf-java-client/blob/6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client/src/main/java/org/cloudfoundry/client/v3/packages/PackageState.java/#L59-L61,1
654,7,6051478,long method,none,00:15.8,function,org.eclipse.dawnsci.nexus.impl.NXpolarizerImpl#getComposition,git@github.com:eclipse/dawnsci.git,1131d5c65e9e8ea98141eecee1743cf1053544f4,/org.eclipse.dawnsci.nexus/autogen/org/eclipse/dawnsci/nexus/impl/NXpolarizerImpl.java,79,82,https://github.com/eclipse/dawnsci/blob/1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.nexus/autogen/org/eclipse/dawnsci/nexus/impl/NXpolarizerImpl.java/#L79-L82,1
658,7,6073975,long method,none,02:29.9,function,org.eclipse.ceylon.langtools.classfile.Annotation.Primitive_element_value#length,git@github.com:eclipse/ceylon.git,d3994d6cd120c4df85952cd9432123b413cfd65a,/langtools-classfile/src/org/eclipse/ceylon/langtools/classfile/Annotation.java,134,137,https://github.com/eclipse/ceylon/blob/d3994d6cd120c4df85952cd9432123b413cfd65a/langtools-classfile/src/org/eclipse/ceylon/langtools/classfile/Annotation.java/#L134-L137,1
666,7,6177738,long method,none,04:55.6,function,org.eclipse.che.ide.status.message.StatusMessage#equals Object,git@github.com:eclipse/che.git,c5498c2ac562cd8a2fc79a6bb0446d291f05a201,/ide/che-core-orion-editor/src/main/java/org/eclipse/che/ide/status/message/StatusMessage.java,62,75,https://github.com/eclipse/che/blob/c5498c2ac562cd8a2fc79a6bb0446d291f05a201/ide/che-core-orion-editor/src/main/java/org/eclipse/che/ide/status/message/StatusMessage.java/#L62-L75,1
670,7,6179494,long method,none,05:33.0,function,org.eclipse.che.api.search.server.impl.SearchResultEntry.SearchResultEntry String|List<OffsetData>,git@github.com:eclipse/che.git,c5498c2ac562cd8a2fc79a6bb0446d291f05a201,/wsagent/che-core-api-project/src/main/java/org/eclipse/che/api/search/server/impl/SearchResultEntry.java,23,26,https://github.com/eclipse/che/blob/c5498c2ac562cd8a2fc79a6bb0446d291f05a201/wsagent/che-core-api-project/src/main/java/org/eclipse/che/api/search/server/impl/SearchResultEntry.java/#L23-L26,1
674,7,6179505,long method,none,05:48.0,function,org.eclipse.che.ide.theme.DarkTheme#hoverBackgroundColor,git@github.com:eclipse/che.git,c5498c2ac562cd8a2fc79a6bb0446d291f05a201,/ide/che-core-ide-app/src/main/java/org/eclipse/che/ide/theme/DarkTheme.java,43,46,https://github.com/eclipse/che/blob/c5498c2ac562cd8a2fc79a6bb0446d291f05a201/ide/che-core-ide-app/src/main/java/org/eclipse/che/ide/theme/DarkTheme.java/#L43-L46,1
678,7,6183429,long method,none,07:12.6,function,org.eclipse.che.ide.util.dom.DomUtils.getSiblingIndexWithClassName Element|String,git@github.com:eclipse/che.git,c5498c2ac562cd8a2fc79a6bb0446d291f05a201,/ide/commons-gwt/src/main/java/org/eclipse/che/ide/util/dom/DomUtils.java,171,180,https://github.com/eclipse/che/blob/c5498c2ac562cd8a2fc79a6bb0446d291f05a201/ide/commons-gwt/src/main/java/org/eclipse/che/ide/util/dom/DomUtils.java/#L171-L180,1
